term,establishmentMeans,occurrenceStatus,degreeOfEstablishment,pathway,comment
doubtfully extinct,uncertain,,,,
doubtfully naturalised,introduced,,,,
formerly naturalised,introduced,,,,
native,native,,,,
native and doubtfully naturalised,native,,,,
native and formerly naturalised,native,,,,
native and naturalised,native,,,,
native and naturalised and uncertain origin,native,,,,
native and uncertain origin,native,,,,
naturalised,introduced,,,,
presumed extinct,uncertain,,,,
uncertain,uncertain,,,,
uncertain origin,uncertain,,,,
