locationID,locality,stateProvince,country,countryCode,islandGroup,continent,waterBody,comment
http://vocab.getty.edu/tgn/7000434,Ashmore and Cartier Islands,,Australia,AU,Ashmore and Cartier Islands,Oceania,Indian Ocean,
http://vocab.getty.edu/tgn/1001989,Australian Capital Territory,Australian Capital Territory,Australia,AU,,Oceania,,
http://vocab.getty.edu/tgn/7785992,Ashmore Reef,Queensland,Australia,AU,,Oceania,Pacific Ocean,
http://vocab.getty.edu/tgn/7024203,Cartier Island,,Australia,AU,Ashmore and Cartier Islands,Oceania,Indian Ocean,
http://vocab.getty.edu/tgn/7004615,Christmas Island,,Australia,AU,,Oceania,Indian Ocean,
http://vocab.getty.edu/tgn/7000429,Cocos Islands,Cocos Islands,Australia,AU,,Oceania,Indian Ocean,
http://vocab.getty.edu/tgn/1001991,Coral Sea Islands Territory,,Australia,AU,,Oceania,Indian Ocean,
http://vocab.getty.edu/tgn/1007365,Heard Island,,Australia,AU,Heard and McDonald Islands,,Southern Ocean,
http://vocab.getty.edu/tgn/1097194,Jervis Bay Territory,,Australia,AU,,Oceania,,
http://vocab.getty.edu/tgn/7001990,Lord Howe Island,New South Wales,Australia,AU,,Oceania,Pacific Ocean,
http://vocab.getty.edu/tgn/4000115,McDonald Islands,,Australia,AU,Heard and McDonald Islands,,Southern Ocean,
http://vocab.getty.edu/tgn/1007961,Macquarie Island,,Australia,AU,Mcaquarie Island,,Southern Ocean,
http://vocab.getty.edu/tgn/7001828,New South Wales,New South Wales,Australia,AU,,Oceania,,
http://vocab.getty.edu/tgn/7000430,Norfolk Island,,Australia,AU,Norfolk Island,Oceania,Pacific Ocean,
http://vocab.getty.edu/tgn/7001829,Northern Territory,Northern Territory,Australia,AU,,Oceania,,
http://vocab.getty.edu/tgn/7001830,Queensland,Queensland,Australia,AU,,Oceania,,
http://vocab.getty.edu/tgn/7001831,South Australia,South Australia,Australia,AU,,Oceania,,
http://vocab.getty.edu/tgn/7001992,Tasmania,Tasmania,Australia,AU,,Oceania,,
http://vocab.getty.edu/tgn/7006238,Victoria,Victoria,Australia,AU,,Oceania,,
http://vocab.getty.edu/tgn/7001834,Western Australia,Western Australia,Australia,AU,,Oceania,,
http://vocab.getty.edu/tgn/7001242,Africa,,,,,Africa,,
http://vocab.getty.edu/tgn/1000007,Antarcticaa,,,,,Antarctica,,
http://vocab.getty.edu/tgn/7000490,Australia,,Australia,AU,,Oceania,,
http://vocab.getty.edu/tgn/1000003,Europe,,,,,Europe,,
http://vocab.getty.edu/tgn/1000004,Asia,,,,,Asia,,
http://vocab.getty.edu/tgn/1000001,North and Central America,,,,,North and Central America,,
http://vocab.getty.edu/tgn/1000006,Oceania,,,,,Oceania,,
http://vocab.getty.edu/tgn/1000002,South America,,,,,South America,,
http://vocab.getty.edu/tgn/7016682,Indian Ocean,,,,,,Indian Ocean,
http://vocab.getty.edu/tgn/1112230,Arctic Ocean,,,,,,Arctic Ocean,
http://vocab.getty.edu/tgn/7014206,Atlantic Ocean,,,,,,Atlantic Ocean,
http://vocab.getty.edu/tgn/1112234,Southern Ocean,,,,,,Southern Ocean,
