locationID,locality,locationRemarks
1000000,Top of the TGN hierarchy,Just use the world as the top of the hierarchy
7823059,Tasman Sea,Attached to Australia
7511092,Tasman Sea,Attached to NZ
8721789,"lost & found/Dhivehi Raajje",
7594165,"lost & found/Germany",
7594167,"lost & found/Ireland",
8721788,"lost & found/Grønland",
7015035,"lost & found/Martinique",
7668725,"lost & found/Serbia",
7593361,"Palaestina Tertia",Historical province listed as current
7005151,"Falkland Islands",As an island group rather than a dependency
