type,include,geographyType
"10001/miscellaneous",false,other
"10002/hierarchy root",false,other
"10003/facet",false,other
"11110/Buddhist",false,
"11113/Tibetan Buddhist",false,
"11151/Hindu",false,
"11155/Hindu-Buddhist",false,
"11209/Christian",false,
"11238/Episcopal",false,
"11282/Benedictine",false,
"11451/Islamic",false,
"11511/Jewish",false,
"11711/Jainist",false,
"11731/Mithraic",false,
"12011/Stone Age",false,
"12012/Paleolithic",false,
"12013/Lower Paleolithic",false,
"12015/Upper Paleolithic",false,
"12016/Epipaleolithic",false,
"12017/Mesolithic",false,
"12021/Neolithic",false,
"12022/Early Neolithic",false,
"12023/Middle Neolithic",false,
"12024/Late Neolithic",false,
"12032/Chalcolithic (Copper Age)",false,
"12035/Late Chalcolithic",false,
"12036/Eneolithic",false,
"12051/Bronze Age",false,
"12052/Early Bronze Age",false,
"12053/Middle Bronze Age",false,
"12054/Late Bronze Age",false,
"12061/Iron Age",false,
"12062/Early Iron Age",false,
"12064/Late Iron Age",false,
"12108/Mousterian",false,
"12111/Pavlovian",false,
"12115/Gravettian",false,
"12116/Magdalenian",false,
"12119/Upper Perigordian",false,
"12120/Magosian",false,
"12122/Uluzzian",false,
"12125/Neanderthal",false,
"12167/Hallstatt",false,
"12177/La Tene",false,
"12184/Iberian",false,
"12185/Celtic",false,
"12186/Celtiberian",false,
"12202/Aegean",false,
"12203/Illyrian",false,
"12204/Samian",false,
"12205/Cycladic",false,
"12207/Megarian",false,
"12219/Ancient Macedonian",false,
"12220/Helladic",false,
"12225/Mycenaean",false,
"12230/Minoan",false,
"12231/Early Minoan",false,
"12234/Late Minoan",false,
"12250/Ancient Greek",false,
"12261/Archaic (Greek)",false,
"12267/Hellenistic",false,
"12270/Cretan",false,
"12273/Corinthian",false,
"12274/Doric",false,
"12275/Ionic",false,
"12285/Ionian",false,
"12289/Attic",false,
"12290/Chalcidian",false,
"12313/Faliscan",false,
"12403/Sabine",false,
"12404/Volscan",false,
"12411/Villanovan",false,
"12412/Samnite",false,
"12413/Venetic",false,
"12414/Picene",false,
"12415/Etruscan",false,
"12419/Ligurian",false,
"12420/Ancient Roman",false,
"12421/Ancient Umbrian",false,
"12426/Imperial (Roman)",false,
"12444/Italic",false,
"12445/Gallo-Roman",false,
"12446/Romano-British",false,
"12447/Greco-Roman",false,
"12501/Ancient Egyptian",false,
"12502/Predynastic",false,
"12525/First Intermediate period",false,
"12553/Fifteenth Dynasty; Hyksos",false,
"12602/Ancient Middle Eastern",false,
"12603/Ancient Hebrew",false,
"12611/Hittite",false,
"12617/Phrygian",false,
"12618/Lydian",false,
"12619/Lycian",false,
"12623/Arabian (Arab)",false,
"12624/Hurrian",false,
"12626/Nabatean",false,
"12652/Palestinian",false,
"12653/Philistine",false,
"12654/Phoenician",false,
"12657/Punic (Carthaginian)",false,
"12658/Phocaean",false,
"12660/Mesopotamian",false,
"12670/Sumerian",false,
"12673/Akkadian",false,
"12676/Babylonian",false,
"12677/Old Babylonian",false,
"12678/Neo-Babylonian",false,
"12679/Kassite",false,
"12681/Assyrian",false,
"12683/Persian",false,
"12685/Elamite",false,
"12687/Achaemenid",false,
"12689/Seleucid",false,
"12691/Parthian",false,
"12696/Indo-European",false,
"12698/Thracian",false,
"13086/Dalmatian",false,
"13101/Early Christian",false,
"13111/Byzantine",false,
"13201/Medieval",false,
"13231/Crusader",false,
"13242/Frankish",false,
"13251/Lombard",false,
"13260/Saxon",false,
"13262/Anglo-Saxon",false,
"13281/Norman",false,
"13284/Norse",false,
"13285/Viking",false,
"13341/Tudor",false,
"14070/Ancient Asian",false,
"14087/Han (Chinese)",false,
"14095/Shang",false,
"14096/Qiang (Ch'iang)",false,
"14202/Jōmon",false,
"14301/Indian",false,
"14302/Indus Valley",false,
"14303/Pre-Harappan",false,
"14304/Harappan",false,
"14390/Indonesian",false,
"14470/Vietnamese",false,
"14472/Dông-Son (Vietnamese)",false,
"15003/Abbasid (Dynasty)",false,
"15150/Ottoman",false,
"15205/Seljuk",false,
"15401/Moorish",false,
"16043/Nigerian",false,
"16081/Numidian",false,
"16101/Axum",false,
"16108/Nubian",false,
"16811/Australian Aboriginal",false,
"16886/Maori",false,
"18030/Native American",false,
"18031/Pre-Columbian",false,
"18034/Archaic (North American)",false,
"18035/Paleo-Indian",false,
"18036/Taino",false,
"18037/Ostionoid",false,
"18043/Clovis",false,
"18051/Huari (Wari)",false,
"18052/Mochica (Moche)",false,
"18053/Gabrielino",false,
"18054/Basketmaker",false,
"18055/Plains Indian",false,
"18065/Mississippian",false,
"18068/Woodland Tradition",false,
"18171/Adena",false,
"18173/Hopewell",false,
"18234/Anasazi",false,
"18240/Mesoamerican",false,
"18242/Preclassic (Archaic Mesoamerican)",false,
"18279/Aztec",false,
"18282/Teotihuacan",false,
"18283/Toltec",false,
"18287/Olmec",false,
"18353/Zapotec",false,
"18354/Mixtec",false,
"18359/Texcocan",false,
"18455/Inca",false,
"18456/Chachapoya",false,
"18481/Ancient American",false,
"18734/Cherokee",false,
"18831/Maya (Mayan)",false,
"18851/Coclé",false,
"18999/pre-colonial",false,
"20001/physical feature",false,
"20020/geological formation",false,
"21008/lost physical feature",false,
"21009/former physical feature",false,
"21010/former landmass",false,
"21015/submerged feature",false,
"21102/ocean",true,ocean
"21103/sea",true,sea
"21104/pond",false,
"21105/river",false,
"21106/streams",false,
"21107/stream",false,
"21108/creek",false,
"21109/brook",false,
"21110/watercourse",false,
"21111/intermittent watercourse",false,
"21112/lost watercourse",false,
"21113/abandoned watercourse",false,
"21114/lakes",false,
"21115/lake",false,
"21116/salt lake",false,
"21117/dry lake",false,
"21118/intermittent lake",false,
"21119/pool",false,
"21120/cove",false,
"21121/bay",false,
"21122/fiord",false,
"21123/gulf",false,
"21124/harbor",false,
"21125/lagoon",false,
"21126/spring",false,
"21127/bight",false,
"21128/inlet",false,
"21129/sound",false,
"21130/tidal watercourse",false,
"21131/passage",false,
"21132/strait",false,
"21135/dock",false,
"21136/anabranch",false,
"21137/narrows",false,
"21138/crater lake",false,
"21140/icecap",false,
"21141/glacier",false,
"21145/icecap depression",false,
"21146/snowfield",false,
"21147/ice sheet",false,
"21151/channel",false,
"21152/estuary",false,
"21153/meander",false,
"21155/riverbank",false,
"21156/river mouth(s)",false,
"21158/distributary (stream)",false,
"21159/bend",false,
"21160/confluence",false,
"21161/waterfall",false,
"21162/rapids",false,
"21163/run",false,
"21165/stream channel",false,
"21166/cataract",false,
"21167/wadi",false,
"21169/current",false,
"21170/ford",false,
"21171/geyser",false,
"21172/blowhole",false,
"21175/deep",false,
"21177/shoal",false,
"21181/headwater",false,
"21182/section of watercourse",false,
"21183/whirlpool",false,
"21184/waterhole",false,
"21185/lake channel",false,
"21186/marine channel",false,
"21187/underground river",false,
"21191/dry waterfall",false,
"21198/intermittent body of water",false,
"21199/former body of water",false,
"21200/water tank",false,
"21201/desert",false,
"21202/oasis",false,
"21203/sandy desert",false,
"21204/rocky desert",false,
"21301/wetland",false,
"21303/bayou",false,
"21304/bog",false,
"21305/slough",false,
"21306/intermittent wetland",false,
"21322/marsh",false,
"21323/salt marsh",false,
"21324/swamp",false,
"21366/spur",false,
"21368/sabkha",false,
"21371/sinkhole",false,
"21381/stream junction",false,
"21403/subcontinent",false,
"21404/steppe",false,
"21405/fault",false,
"21406/volcano",false,
"21407/volcanic landform",false,
"21408/crater",false,
"21409/caldera",false,
"21413/tidal island",false,
"21414/moraine",false,
"21416/fissure",false,
"21418/cone",false,
"21419/dunes",false,
"21421/alluvial fan",false,
"21422/delta",false,
"21423/arroyo",false,
"21424/canyon",false,
"21426/gorge",false,
"21427/ravine",false,
"21428/fluvial island",false,
"21429/defile",false,
"21430/mountain",false,
"21431/mountain range",false,
"21432/mountain system",false,
"21433/pass",false,
"21434/mountains",false,
"21435/massif",false,
"21436/gap",false,
"21437/hill",false,
"21438/hills",false,
"21439/hummock",false,
"21440/divide",false,
"21441/plateau",false,
"21442/mesa",false,
"21443/butte",false,
"21444/rock",false,
"21445/natural arch",false,
"21446/natural pillar",false,
"21450/interfluve",false,
"21451/valley",false,
"21453/gully",false,
"21454/basin",false,
"21455/drainage basin",false,
"21456/field",false,
"21457/flat",false,
"21458/mound",false,
"21459/salt flat",false,
"21460/flood plain",false,
"21461/plain",false,
"21462/cape",false,cape
"21463/headland",false,
"21464/point",false,
"21465/spit",false,
"21466/bank",false,
"21467/former island",false,
"21468/islet",false,
"21469/islets",false,
"21470/island group",true,islandGroup
"21471/island",false,island
"21472/atoll",false,
"21473/isthmus",false,
"21474/archipelago",true,islandGroup
"21475/islands",true,islandGroup
"21476/peninsula",false,
"21477/promontory",false,
"21478/land bridge",false,
"21479/reef",false,
"21480/sand bar",false,
"21481/shore",false,
"21482/beach",false,
"21483/coastline",false,
"21485/caves",false,
"21486/cave",false,
"21487/cliffs",false,
"21488/cliff",false,
"21489/escarpment",false,
"21490/peak",false,
"21491/ridge",false,
"21492/slope",false,
"21493/upland",false,
"21494/highland",false,
"21495/nunatak",false,
"21496/cirque",false,
"21497/depression",false,
"21499/reach",false,
"21505/sand area",false,
"21506/salt area",false,
"21509/karst area",false,
"21510/down",false,
"21511/land-tied island",false,
"21512/trough",false,
"21513/terrace",false,
"21514/hanging valley",false,
"21515/midden",false,
"21521/pan",false,
"21522/polder",false,
"21524/saddle",false,
"21531/bar",false,
"21604/grassland",false,
"21608/moor(s)",false,
"21609/heath",false,
"21611/tundra",false,
"21612/lava flow",false,
"21613/meadow",false,
"21631/jungle",false,
"21632/rain forest",false,
"21641/woods",false,
"21642/forest",false,
"21643/trees",false,
"21645/grove",false,
"21646/sacred grove",false,
"21647/tree",false,
"21651/clearing",false,
"21652/scrubland",false,
"22101/general region",false,
"22201/inhabited region",false,
"23118/undersea slope",false,
"23172/undersea knoll",false,
"23184/undersea bank",false,
"23195/undersea ledge",false,
"23302/abyssal plain",false,
"23416/undersea canyon",false,
"23421/undersea basin",false,
"23431/undersea hole",false,
"23462/undersea trough",false,
"23464/undersea trench",false,
"23467/undersea furrow",false,
"29000/continent",true,continent
"29470/galaxy",false,
"29490/star",false,
"29501/planetary system",false,
"29520/sun",false,
"29530/planetary body",false,
"29531/planet",false,
"29532/dwarf planet",false,
"29570/moon",false,
"29771/satellite",false,
"51010/structure",false,
"51011/building",false,
"51012/former structure",false,
"51013/historic structure",false,
"51014/abandoned structure",false,
"51209/apartment house",false,
"51211/house",false,
"51212/country house",false,
"51213/official residence",false,
"51214/palace",false,
"51216/villa",false,
"51217/mansion",false,
"51218/cave dwelling",false,
