locationID,identifier,locality,locationRemarks
# Names in Marine Regions
http://vocab.getty.edu/tgn/1112234,mrgid:48688,Southern Ocean sensu lato,
http://vocab.getty.edu/tgn/1112234,mrgid:48681,Antarctic Zone,
http://vocab.getty.edu/tgn/1000193,mrgid:15318,Tugela River,
http://vocab.getty.edu/tgn/1112234,mrgid:33678,Antarctica East Abyssal Province,
http://vocab.getty.edu/tgn/7016682,mrgid:33671,Indian Ocean Abyssal Province,
http://vocab.getty.edu/tgn/7004569,mrgid:25310,Joint regime area Colombia - Jamaica,
http://vocab.getty.edu/tgn/7004569,mrgid:21792,Joint regime area Colombia - Jamaica,
http://vocab.getty.edu/tgn/7014652,mrgid:7200,Pacific-Antarctic Ridge,
http://vocab.getty.edu/tgn/7005332,mrgid:20549,Tartar Bank,
http://vocab.getty.edu/tgn/7015931,mrgid:9275,Haven Vlissingen Oost,
http://vocab.getty.edu/tgn/7014652,mrgid:18575,Los Angeles Bay,
http://vocab.getty.edu/tgn/7014652,mrgid:33656,New Zealand-Kermadec Lower Bathyal Province,
http://vocab.getty.edu/tgn/7014206,mrgid:33663,South Atlantic Lower Bathyal Province,
http://vocab.getty.edu/tgn/7014206,mrgid:33666,North North Atlantic Abyssal Province,
http://vocab.getty.edu/tgn/7014206,mrgid:33654,North Atlantic Lower Bathyal Province,
http://vocab.getty.edu/tgn/7016682,mrgid:20586,Uvongo Reef,
http://vocab.getty.edu/tgn/7015931,mrgid:17938,Zandkreeksluis,
http://vocab.getty.edu/tgn/7005685,mrgid:25174,Canada (Arctic),
http://vocab.getty.edu/tgn/1000047,mrgid:30088,Amazon Estuary,
http://vocab.getty.edu/tgn/7014206,mrgid:33652,Northern Atlantic Boreal Lower Bathyal Province,
http://vocab.getty.edu/tgn/1112230,mrgid:33651,Arctic Lower Bathyal Province,
http://vocab.getty.edu/tgn/1112234,mrgid:33660,Subantarctic Lower Bathyal Province,
http://vocab.getty.edu/tgn/1112234,mrgid:33659,Antarctic Lower Bathyal Province,
http://vocab.getty.edu/tgn/7014652,mrgid:33653,Northern Pacific Boreal Lower Bathyal Province,
http://vocab.getty.edu/tgn/7016682,mrgid:33661,Indian Lower Bathyal Province,
http://vocab.getty.edu/tgn/7014652,mrgid:33658,Nazca Plate Lower Bathyal Province,
http://vocab.getty.edu/tgn/7014652,mrgid:33662,West Pacific Lower Bathyal Province,
http://vocab.getty.edu/tgn/7014652,mrgid:33675,North Pacific Abyssal Province,
http://vocab.getty.edu/tgn/7014206,mrgid:33668,"Angola,, Guinea,, Sierra Leone Basins Abyssal Province",
http://vocab.getty.edu/tgn/7014652,mrgid:33664,North Pacific Lower Bathyal Province,
http://vocab.getty.edu/tgn/7014652,mrgid:33672,South Pacific Abyssal Province,
http://vocab.getty.edu/tgn/7014652,mrgid:33673,Equatorial Pacific Abyssal Province,
http://vocab.getty.edu/tgn/7014652,mrgid:33674,North Central Pacific Abyssal Province,
http://vocab.getty.edu/tgn/7014652,mrgid:33657,Cocos Plate Lower Bathyal Province,
http://vocab.getty.edu/tgn/7014652,mrgid:33677,"Chile,, Peru,, Guatemala Basins Abyssal Province",
http://vocab.getty.edu/tgn/7014652,mrgid:33676,West Pacific Basins Abyssal Province,
