"term","taxonRank","taxonRankLevel","taxonGroup"
"Root","",0,""
"Domain","domain",100,""
"Superregnum","domain",100,""
"Superkingdom","domain",100,""
"Regio","domain",100,""
"Regnum","kingdom",200,""
"Kingdom","kingdom",200,""
"Subregnum","subkingdom",300,""
"Subkingdom","subkingdom",300,""
"Superphylum","superphylum",400,""
"Phylum","phylum",500,""
"Divisio","phylum",500,""
"Division","phylum",500,""
"Subphylum","subphylum",600,""
"Subdivisio","subphylum",600,""
"Subdivision","subphylum",600,""
"Subbdivision","subphylum",600,""
"Superclassis","superclass",700,""
"Superclass","superclass",700,""
"Classis","class",800,""
"Class","class",800,""
"Subclassis","subclass",900,""
"Subclass","subclass",900,""
"Infraclassis","infraclass",1000,""
"Infraclass","infraclass",1000,""
"Superordo","superorder",1100,""
"Superorder","superorder",1100,""
"Ordo","order",1200,""
"Order","order",1200,""
"Subordo","suborder",1300,""
"Suborder","suborder",1300,""
"Infraordo","infraorder",1400,""
"Infraorder","infraorder",1400,""
"Superfamilia","superfamily",1500,""
"Superfamily","superfamily",1500,""
"Familia","family",1600,""
"Family","family",1600,""
"Subfamilia","subfamily",1700,"Family"
"Subfamily","subfamily",1700,"Family"
"Supertribus","supertribe",1800,"Family"
"Supertribe","supertribe",1800,"Family"
"Tribus","tribe",1900,"Family"
"Tribe","tribe",1900,"Family"
"Subtribus","subtribe",2000,"Family"
"Subtribe","subtribe",2000,"Family"
"Supergenus","supergenus",2100,"Family"
"Aggregate Genera","genus group",2200,"Family"
"Genus","genus",2300,"Family"
"[infragenus]","infragenus",2310,"Genus"
"Infragenus","infragenus",2310,"Genus"
"Subgenus","subgenus",2400,"Genus"
"Supersectio","supersection botany",2500,"Genus"
"Supersection","supersection botany",2500,"Genus"
"Sectio","section botany",2600,"Genus"
"Section","section botany",2600,"Genus"
"Subsectio","subsection botany",2700,"Genus"
"Subsection","subsection botany",2700,"Genus"
"Superseries","superseries botany",2800,"Genus"
"Series","series botany",2900,"Genus"
"Subseries","subseries botany",3000,"Genus"
"Aggregate Species","species group",3100,"Genus"
"Superspecies","superspecies",3200,"Genus"
"Species","species",3300,"Genus"
"[infraspecies]","infraspecies",3310,"Species"
"Infraspecies","infraspecies",3310,"Species"
"Subspecies","subspecies",3400,"Species"
"Varietas","variety",3500,"Species"
"Variety","variety",3500,"Species"
"nothomorphological var.","nothovariety",3550,"Species"
"nothomorph.","nothovariety",3550,"Species"
"Nothovarietas","nothovariety",3550,"Species"
"Subvarietas","subvariety",3600,"Species"
"Subvariety","subvariety",3600,"Species"
"morphological var.","subvariety",3600,"Species"
"Forma","form",3700,"Species"
"Form","form",3700,"Species"
"form taxon","form",3700,"Species"
"Subforma","subform",3800,"Species"
"Subform","subform",3800,"Species"
"Special form","subform",3800,"Species"
"Incertae Sedis","incertae sedis",-1,""
