id,job,dir,inputDir,configDir,datasetID,nomenclaturalCode,defaultOrganisation,geographicCoverage,taxonomicCoverage,sourceUrl,defaultVernacularStatus,defaultAcceptedStatus,defaultSynonymStatus,defaultLocationID,applyLocationToTaxonomicStatus,countryCode,language
default,,,,,,,,,,,common,inferredAccepted,inferredSynonym,http://vocab.getty.edu/tgn/7000490,misapplied|excluded|inferredMisapplied|inferredExcluded|miscellaneousLiterature,AU,en
afd,afd,AFD,,,dr2699,ICZN,Australian Biological Resources Study,,Animalia,,,,,,,,
apni,additional_nsl,APNI,APC,"APNI,NSL",dr2700,ICN,Australian Biological Resources Study,,Plantae,,,,,,,,
apc,nsl,APC,,"APC,NSL",dr5214,ICN,Australian Biological Resources Study,,Plantae,,,,,,,,
ausfungi,nsl,AusFungi,,"AusFungi,NSL",dr19724,ICN,Royal Botanic Gardens Victoria,,Fungi,,,,,,,,
ausmoss,nsl,AusMoss,,"AusMoss,NSL",dr2703,ICN,Royal Botanic Gardens Victoria,,Bryophytes,,,,,,,,
lichens,nsl,Lichens,,"Lichens,NSL",dr17664,ICN,Australian Biological Resources Study,,"Ascomycota, Basidiomycota",,,,,,,,
caab,caab_standard,CAAB,,,dr2704,,CSIRO,,,https://www.marine.csiro.au/data/caab/taxon_report.cfm?caab_code=,,,,,,,
caab_code,caab_code,CAABCode,CAAB,CAAB,dr2704,,CSIRO,,,https://www.marine.csiro.au/data/caab/taxon_report.cfm?caab_code=,,,,,,,
nzor,nzor,NZOR,,,dr2707,,Landcare Research,New Zealand,,,,,,http://vocab.getty.edu/tgn/1000226,,NZ,
col,col,CoL,,,dr2705,,The Catalogue of Life,,"Archaea, Bacteria, Protozoa, Chromista, Virusesm Fungi",,,,,,,,
dr7933,ala,dr7933,,ALA,dr7933,,Atlas of Living Australia,,,,,,,,,,
dr13266,ala_vernacular_list,dr13266,,ALA,dr13266,,"Senior knowledge holders from the Gamilaraay, Yuwaalaraay & Yuwaalayaay languages",,,,traditionalKnowledge,,,,,,
dr17880,ala_vernacular_list,dr17880,,ALA,dr17880,,,,,,traditionalKnowledge,,,,,,
dr17886,ala_vernacular_list,dr17886,,ALA,dr17886,,,,,,traditionalKnowledge,,,,,,
ala-vernacular,ala_vernacular,ALA,,ALA,dr7933,,Atlas of Living Australia,Australia,,,,,,,,,
dr22912,ala,dr22912,,ALA,dr22912,,Atlas of Living Australia,Australia,,,,,,,,,
dr22913,ala,dr22913,,ALA,dr22913,,Atlas of Living Australia,Australia,,,,,,,,,
dr22891,ala,dr22891,,ALA,dr22891,,Atlas of Living Australia,Global,,,,,,,,,
dr20514,ala_vernacular_list,dr20514,,ALA,dr20514,,,,,,preferred,,,,,,en
dr23028,ala_vernacular_list,dr23028,,ALA,dr23028,,,,,,preferred,,,,,,en
dr24112,ala,dr24112,,ALA,dr24112,,Atlas of Living Australia,Global,,,,,,,,,
